Accelerometer1RMS,Accelerometer2RMS,Current,Pressure,Temperature,Thermocouple,Voltage,Volume Flow RateRMS,__label__
0.202394,0.275154,2.16975,0.382638,90.6454,26.8508,238.852,122.664,0
0.203153,0.277857,2.07999,-0.273216,90.7978,26.8639,227.943,122.338,0
0.202054,0.27579,2.52577,0.382638,90.773,26.8603,223.486,121.338,0
0.203595,0.278101,2.49742,0.054711,90.8424,26.8616,244.904,121.664,0
0.201889,0.276363,2.29194,0.710565,90.6664,26.8603,239.196,122.0,0
0.203646,0.277887,2.57094,0.054711,90.7608,26.8723,240.549,121.338,0
0.201434,0.278046,3.10397,0.054711,90.7526,26.8573,251.862,121.664,0
0.201625,0.276807,2.40694,0.054711,90.9229,26.8573,228.402,122.0,0
0.202689,0.276321,2.56711,-0.601143,90.9333,26.8676,226.631,122.0,0
0.200964,0.27653,2.4602,0.054711,90.7807,26.8673,218.205,122.0,0
0.20078,0.275502,3.0298,0.054711,90.8002,26.8661,235.331,122.0,0
0.199534,0.275357,2.65212,0.054711,90.6518,26.8704,233.248,121.338,0
0.200691,0.276844,2.88061,0.054711,90.5834,26.8694,245.606,121.0,0
0.200582,0.274749,2.91862,0.054711,90.6741,26.8677,223.261,121.664,0
0.201456,0.278072,2.90396,0.054711,90.682,26.8682,206.892,122.0,0
0.201179,0.274142,2.86733,0.054711,90.5654,26.8716,236.717,122.0,0
0.201656,0.278369,3.05417,0.054711,91.241,26.8708,218.205,122.0,0
0.201256,0.275102,1.44434,0.054711,90.6573,26.8708,220.715,122.0,0
0.201859,0.277502,2.82781,0.054711,91.147,26.8708,234.287,122.0,0
0.201533,0.27457,2.80555,0.382638,91.3925,26.8745,224.112,122.0,0
0.202535,0.277921,2.65724,0.054711,90.6303,26.8746,228.314,122.0,0
0.20218,0.274233,2.50867,0.054711,91.0215,26.8738,229.464,122.0,0
0.202958,0.278955,1.7947,-0.273216,91.0884,26.8722,226.338,121.338,0
0.202142,0.273675,2.11039,0.054711,91.3434,26.8774,229.44,122.33,0
0.202968,0.278913,2.53479,0.382638,91.1781,26.8773,221.335,121.677,0
0.203006,0.278176,1.78388,0.054711,91.3868,26.8755,220.416,122.0,0
0.20165,0.274977,1.93663,0.054711,91.4091,26.8755,233.562,122.0,0
0.203455,0.27775,2.12854,0.054711,91.2651,26.8796,249.643,122.0,0
0.201956,0.276255,2.49631,0.054711,91.3436,26.8721,236.765,121.338,0
0.203732,0.276862,1.77498,0.382638,91.3471,26.8698,230.408,121.664,0
0.202208,0.276628,2.18757,0.054711,91.4359,26.8696,235.981,122.0,0
0.203388,0.276921,2.59247,0.054711,91.5322,26.8738,226.787,122.0,0
0.201756,0.276941,2.1304,0.382638,91.4333,26.8799,228.136,122.664,0
0.203337,0.275863,1.10258,0.710565,91.3338,26.8774,207.957,122.338,0
0.202889,0.279188,2.5835,0.054711,91.4644,26.8805,220.186,122.0,0
